"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","get started link","chromium","Wed Aug 27 17:39:07 IST 2025","skipped","Wed Aug 27 17:39:07 IST 2025","","example.spec.ts","",""
"","0","has title","chromium","Wed Aug 27 17:39:07 IST 2025","skipped","Wed Aug 27 17:39:07 IST 2025","","example.spec.ts","",""
"","281","authenticate","authentication","Wed Aug 27 17:39:06 IST 2025","passed","Wed Aug 27 17:39:07 IST 2025","","setup\auth.setup.ts","",""
"","1","Get Created Book by ID","chromium","Wed Aug 27 17:39:07 IST 2025","skipped","Wed Aug 27 17:39:07 IST 2025","","api\createBooks.spec.ts","",""
"","24","Get newly created book using ID","chromium","Wed Aug 27 17:39:08 IST 2025","passed","Wed Aug 27 17:39:08 IST 2025","Book: create, get, update and delete flow tests","api\bookFlow.spec.ts","",""
"","61","Create a new book","chromium","Wed Aug 27 17:39:08 IST 2025","passed","Wed Aug 27 17:39:08 IST 2025","Book: create, get, update and delete flow tests","api\bookFlow.spec.ts","",""
"","2","Get Books","chromium","Wed Aug 27 17:39:07 IST 2025","skipped","Wed Aug 27 17:39:07 IST 2025","","api\getBooks.spec.ts","",""
"","35","Update newly created book using ID","chromium","Wed Aug 27 17:39:08 IST 2025","passed","Wed Aug 27 17:39:08 IST 2025","Book: create, get, update and delete flow tests","api\bookFlow.spec.ts","",""
"","39","Delete newly created book using ID","chromium","Wed Aug 27 17:39:08 IST 2025","passed","Wed Aug 27 17:39:08 IST 2025","Book: create, get, update and delete flow tests","api\bookFlow.spec.ts","",""
"","2","Create a new Book","chromium","Wed Aug 27 17:39:07 IST 2025","skipped","Wed Aug 27 17:39:07 IST 2025","","api\createBooks.spec.ts","",""
"","1","Get Book by Id","chromium","Wed Aug 27 17:39:07 IST 2025","skipped","Wed Aug 27 17:39:07 IST 2025","","api\getBookbyID.spec.ts","",""
